sale_id,day,month,sale_price,n_bedrooms,n_bathrooms,finished_sqft,lot_size_sqft,n_floors,waterfront_indicator,view_index,condition_index,construction_grade_index,finished_above_ground_sqft,finished_below_ground_sqft,year_built,year_renovated,zipcode,latitude,longitude
7129300520,13,10,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,54968,47.5112,-92.873
6414100192,9,12,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,54915,47.721,-92.935
5631500400,25,2,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,54818,47.7379,-92.849
2487200875,9,12,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,54926,47.5208,-93.009
1954400510,18,2,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,54864,47.6168,-92.661
7237550310,12,5,1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,54843,47.6561,-92.621
1321400060,27,6,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,54793,47.3097,-92.943
2008000270,15,1,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,54988,47.4095,-92.931
2414600126,15,4,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,54936,47.5123,-92.953
3793500160,12,3,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,54828,47.3684,-92.647
1736800520,3,4,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,54797,47.6007,-92.761
9212900260,27,5,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,54905,47.69,-92.908
114101516,28,5,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,54818,47.7558,-92.845
6054650070,7,10,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,54864,47.6127,-92.661
1175000570,12,3,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,54897,47.67,-93.01
9297300055,24,1,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,54916,47.5714,-92.991
1875500060,31,7,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,54809,47.7277,-92.578
6865200140,29,5,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,54893,47.6648,-92.959
16000397,5,12,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,54792,47.3089,-92.826
7983200060,24,4,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,54793,47.3343,-92.922
6300500875,14,5,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,54923,47.7025,-92.957
2524049179,26,8,2000000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,54830,47.5316,-92.849
7137970340,3,7,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,54882,47.3266,-92.785
8091400200,16,5,252700,2,1.5,1070,9643,1,0,0,3,7,≥,0,1985,0,54820,47.3533,-92.782
3814700200,20,11,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,54820,47.3739,-92.788
1202000200,3,11,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,54792,47.3048,-92.834
1794500383,26,6,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,54909,47.6386,-92.976
3303700376,1,12,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,54902,47.6221,-92.93
5101402488,24,6,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,54905,47.695,-92.92
